order,date_placed,item,spec,qty,unit_price_cny,supplier,link_or_contact,batch,promised_eta,actual_arrival,incoming_check,issues,owner
A,2026-09-01,Air8201G-BLMQ,桌面固件与接口开发,2,,,,,2026-09-03,,,,
A,2026-09-01,Air8201G 专用调试板,烧录/日志/供电,2,,,,,2026-09-03,,,,
A,2026-09-01,配套 FPC 线,2 用 2 备,4,,,,,2026-09-03,,,,
A,2026-09-01,Air8201G-LM,可佩戴样机主料,8,,,,,2026-09-07,,,,
A,2026-09-01,Air8201G 基础版,功耗/天线回退对照,2,,,,,2026-09-07,,,,
A,2026-09-01,4G 数据 SIM,无专网白名单限制测试卡,12,,,,,2026-09-03,,,,
A,2026-09-01,4G/GNSS/BLE 官方天线套件,Bring-up 基线,各 6-10,,,,,2026-09-03,,,,
A,2026-09-01,功耗分析仪,PPK2 最低配置；优先借 ≥3A Joulescope,1,,,,,2026-09-04,,,,
B,2026-09-02,300 mAh LiPo 供应商 A,302535 类 ≥3C 保护板 NTC,10,,,,,,,,,
B,2026-09-02,300 mAh LiPo 供应商 B,同 A 口径对照,10,,,,,,,,,
B,2026-09-02,1027 3V 震动马达,测启动/堵转电流,20,,,,,,,,,
B,2026-09-02,逻辑 MOSFET + 保护器件,3.0V GPIO 充分导通,50 套,,,,,,,,,
B,2026-09-02,低电流 LED,,20,,,,,,,,,
B,2026-09-02,磁吸 pogo 充电组件,4-pin 短路/反接防护,20 套,,,,,,,,,
B,2026-09-02,Breakaway 织带/扣,≥2 种扣型,15,,,,,,,,,
B,2026-09-02,4G 天线候选 B,可穿戴 FPC 带 IPEX,10,,,,,,,,,
B,2026-09-02,GNSS 天线候选 B,小地平面/贴身,10,,,,,,,,,
B,2026-09-02,BLE 天线候选 B,LM 使用,10,,,,,,,,,
B,2026-09-02,TPU/硅胶片、密封圈、三防漆,,1 批,,,,,,,,,
C,2026-09-09,2 层功能载板 Rev A,0.8mm 沉金 测试点齐全,20,,,,,2026-09-14,,,,
C,2026-09-09,外壳 Rev A,3 居中 + 3 侧向,6 套,,,,,2026-09-14,,,,
C,2026-09-09,TPU/硅胶垫 Rev A,两种硬度/厚度,12,,,,,2026-09-14,,,,
C,2026-09-09,装配夹具/天线定位片,可重复装配,2 套,,,,,2026-09-14,,,,
D,2026-09-17,外壳 Rev B,修复重量/天线/密封/佩戴,10 套,,,,,2026-09-22,,,,
D,2026-09-17,功能载板小改版（仅必要时）,只修阻塞问题,20,,,,,2026-09-23,,,,
D,2026-09-17,备用天线/线束,按 Rev A 实测补货,1 批,,,,,2026-09-22,,,,
